atom_type,importance
C,0.11186426877975464
CA,0.11186426877975464
CB,0.11785748600959778
CD,0.13134215772151947
CD1,0.14482678472995758
CD2,0.15831148624420166
CE,0.16521774232387543
CE1,0.15896734595298767
CE2,0.1527169644832611
CE3,0.14646658301353455
CG,0.14068275690078735
CG1,0.13653185963630676
CG2,0.13238097727298737
CH2,0.12823009490966797
CZ,0.1268334984779358
CZ2,0.14747151732444763
CZ3,0.16810950636863708
O,0.18874745070934296
OH,0.2093854546546936
OD1,0.20338135957717896
OD2,0.19737718999385834
OE1,0.1913730949163437
OE2,0.18536895513534546
OG,0.18487805128097534
OG1,0.18507634103298187
N,0.18527460098266602
NE,0.18547287583351135
NE1,0.18437817692756653
NE2,0.18291503190994263
ND1,0.18145188689231873
ND2,0.17998763918876648
NZ,0.1753205955028534
NH1,0.1690499186515808
NH2,0.16278037428855896
SD,0.15650968253612518
SG,0.15372233092784882
UNKNOWN,0.15372233092784882
