atom_type,importance
C,0.09918206185102463
CA,0.09918206185102463
CB,0.10125453025102615
CD,0.10591709613800049
CD1,0.11057965457439423
CD2,0.11524224281311035
CE,0.11931658536195755
CE1,0.12221182137727737
CE2,0.1251070648431778
CE3,0.12800228595733643
CG,0.13306351006031036
CG1,0.14570443332195282
CG2,0.15834544599056244
CH2,0.17098639905452728
CZ,0.18129009008407593
CZ2,0.1728956699371338
CZ3,0.16450130939483643
O,0.15610690414905548
OH,0.14771248400211334
OD1,0.13215669989585876
OD2,0.11660099029541016
OE1,0.10104521363973618
OE2,0.08548945933580399
OG,0.07457897067070007
OG1,0.06424915045499802
N,0.053919341415166855
NE,0.0435895174741745
NE1,0.03807215765118599
NE2,0.03392963483929634
ND1,0.02978714555501938
ND2,0.02564474381506443
NZ,0.030495239421725273
NH1,0.03984203189611435
NH2,0.04918895289301872
SD,0.05853583663702011
SG,0.06269004940986633
UNKNOWN,0.06269004940986633
