atom_type,importance
C,0.07273286581039429
CA,0.07273286581039429
CB,0.07664253562688828
CD,0.08543894439935684
CD1,0.09423604607582092
CD2,0.10303244739770889
CE,0.11204660683870316
CE1,0.12149479985237122
CE2,0.13094308972358704
CE3,0.1403912901878357
CG,0.14730937778949738
CG1,0.14537490904331207
CG2,0.14344045519828796
CH2,0.14150600135326385
CZ,0.13883106410503387
CZ2,0.13023263216018677
CZ3,0.12163420021533966
O,0.11303576081991196
OH,0.10443729907274246
OD1,0.10106700658798218
OD2,0.09769672155380249
OE1,0.0943264290690422
OE2,0.09095614403486252
OG,0.09386226534843445
OG1,0.09755296260118484
N,0.10124363005161285
NE,0.10493431985378265
NE1,0.10489410907030106
NE2,0.10378892719745636
ND1,0.10268306732177734
ND2,0.10157716274261475
NZ,0.10436760634183884
NH1,0.10910703986883163
NH2,0.11384651064872742
SD,0.11858544498682022
SG,0.12069201469421387
UNKNOWN,0.12069201469421387
