atom_type,importance
C,0.14083366096019745
CA,0.14083366096019745
CB,0.13990917801856995
CD,0.13782820105552673
CD1,0.13574722409248352
CD2,0.13366620242595673
CE,0.13890162110328674
CE1,0.15877173840999603
CE2,0.17864277958869934
CE3,0.19851288199424744
CG,0.21260948479175568
CG1,0.20650064945220947
CG2,0.20039182901382446
CH2,0.1942829191684723
CZ,0.19112375378608704
CZ2,0.211561381816864
CZ3,0.2319999635219574
O,0.25243765115737915
OH,0.27287527918815613
OD1,0.27085572481155396
OD2,0.2688363194465637
OE1,0.26681679487228394
OE2,0.2647973895072937
OG,0.2549428641796112
OG1,0.24410885572433472
N,0.2332748919725418
NE,0.22244097292423248
NE1,0.21478861570358276
NE2,0.20804619789123535
ND1,0.2013038843870163
ND2,0.19456157088279724
NZ,0.18820466101169586
NH1,0.18203948438167572
NH2,0.17587515711784363
SD,0.16971006989479065
SG,0.16697019338607788
UNKNOWN,0.16697019338607788
