atom_type,importance
C,0.14209969341754913
CA,0.14209969341754913
CB,0.1467275470495224
CD,0.15714283287525177
CD1,0.1675581932067871
CD2,0.17797349393367767
CE,0.18145757913589478
CE1,0.17108215391635895
CE2,0.16070665419101715
CE3,0.15033118426799774
CG,0.1396135836839676
CG1,0.1277032196521759
CG2,0.11579284816980362
CH2,0.10388319194316864
CZ,0.09409429877996445
CZ2,0.10127715021371841
CZ3,0.1084597259759903
O,0.11564220488071442
OH,0.12282506376504898
OD1,0.12209834903478622
OD2,0.12137164920568466
OE1,0.12064492702484131
OE2,0.11991822719573975
OG,0.11780812591314316
OG1,0.11552509665489197
N,0.11324207484722137
NE,0.11095905303955078
NE1,0.11053938418626785
NE2,0.11065138131380081
ND1,0.11076320707798004
ND2,0.11087498813867569
NZ,0.11160345375537872
NH1,0.11264049261808395
NH2,0.11367717385292053
SD,0.11471416801214218
SG,0.11517465859651566
UNKNOWN,0.11517465859651566
