atom_type,importance
C,0.10207108408212662
CA,0.10207108408212662
CB,0.1059611514210701
CD,0.11471395939588547
CD1,0.12346737086772919
CD2,0.1322198361158371
CE,0.13926392793655396
CE1,0.14288891851902008
CE2,0.14651384949684143
CE3,0.15014004707336426
CG,0.1558794230222702
CG1,0.16901887953281403
CG2,0.18215830624103546
CH2,0.1952977180480957
CZ,0.20645123720169067
CZ2,0.20171776413917542
CZ3,0.1969842165708542
O,0.19225072860717773
OH,0.1875171810388565
OD1,0.18356017768383026
OD2,0.1796032190322876
OE1,0.17564623057842255
OE2,0.1716892570257187
OG,0.1619904637336731
OG1,0.15157395601272583
N,0.14115744829177856
NE,0.1307409107685089
NE1,0.13690625131130219
NE2,0.14780959486961365
ND1,0.1587129533290863
ND2,0.16961626708507538
NZ,0.17227156460285187
NH1,0.17080363631248474
NH2,0.16933687031269073
SD,0.16786889731884003
SG,0.16721585392951965
UNKNOWN,0.16721585392951965
