atom_type,importance
C,0.09049095958471298
CA,0.09049095958471298
CB,0.09239765256643295
CD,0.09668664634227753
CD1,0.10097617655992508
CD2,0.10526570677757263
CE,0.10588788241147995
CE1,0.09917647391557693
CE2,0.09246503561735153
CE3,0.08575361967086792
CG,0.08210106194019318
CG1,0.0891532301902771
CG2,0.09620540589094162
CH2,0.10325755923986435
CZ,0.11120076477527618
CZ2,0.12627212703227997
CZ3,0.14134347438812256
O,0.15641480684280396
OH,0.17148619890213013
OD1,0.17134080827236176
OD2,0.17119549214839935
OE1,0.17105011641979218
OE2,0.170904740691185
OG,0.1729099452495575
OG1,0.17518404126167297
N,0.1774580180644989
NE,0.17973209917545319
NE1,0.17327627539634705
NE2,0.16432757675647736
ND1,0.15537890791893005
ND2,0.1464291214942932
NZ,0.13913917541503906
NH1,0.13267739117145538
NH2,0.12621675431728363
SD,0.1197560504078865
SG,0.11688435822725296
UNKNOWN,0.11688435822725296
