atom_type,importance
C,0.09092441201210022
CA,0.09092441201210022
CB,0.09413821250200272
CD,0.10136895626783371
CD1,0.10860016942024231
CD2,0.11583104729652405
CE,0.12687748670578003
CE1,0.14555253088474274
CE2,0.16422855854034424
CE3,0.1829046607017517
CG,0.19594475626945496
CG1,0.1892605721950531
CG2,0.18257643282413483
CH2,0.17589223384857178
CZ,0.17056165635585785
CZ2,0.17605960369110107
CZ3,0.1815575361251831
O,0.18705542385578156
OH,0.1925533264875412
OD1,0.19942982494831085
OD2,0.20630624890327454
OE1,0.2131827026605606
OE2,0.2200581580400467
OG,0.21957626938819885
OG1,0.21817466616630554
N,0.21677330136299133
NE,0.21537195146083832
NE1,0.21984632313251495
NE2,0.22599968314170837
ND1,0.23215296864509583
ND2,0.23830640316009521
NZ,0.23327039182186127
NH1,0.22263799607753754
NH2,0.21200577914714813
SD,0.20137298107147217
SG,0.19664795696735382
UNKNOWN,0.19664795696735382
