atom_type,importance
C,0.0828189104795456
CA,0.0828189104795456
CB,0.08652970939874649
CD,0.09487752616405487
CD1,0.10322611033916473
CD2,0.11157391965389252
CE,0.11666310578584671
CE1,0.11523504555225372
CE2,0.11380548030138016
CE3,0.112375907599926
CG,0.11168576776981354
CG1,0.11357980221509933
CG2,0.11547383666038513
CH2,0.11736785620450974
CZ,0.1179397851228714
CZ2,0.10793475806713104
CZ3,0.09792971611022949
O,0.08792468905448914
OH,0.07791969180107117
OD1,0.0711200013756752
OD2,0.06432034820318222
OE1,0.057520683854818344
OE2,0.05072101950645447
OG,0.04917734116315842
OG1,0.04829065129160881
N,0.0474039725959301
NE,0.046517301350831985
NE1,0.043048109859228134
NE2,0.03884121775627136
ND1,0.03463434427976608
ND2,0.030427459627389908
NZ,0.03227745369076729
NH1,0.037156324833631516
NH2,0.04203519970178604
SD,0.046913981437683105
SG,0.049082327634096146
UNKNOWN,0.049082327634096146
