atom_type,importance
C,0.25511184334754944
CA,0.25511184334754944
CB,0.2595837116241455
CD,0.2696435749530792
CD1,0.2797035872936249
CD2,0.2897636592388153
CE,0.3004465699195862
CE1,0.31237757205963135
CE2,0.3243085443973541
CE3,0.3362395167350769
CG,0.3368195593357086
CG1,0.2976785898208618
CG2,0.2585374712944031
CH2,0.21939626336097717
CZ,0.18494221568107605
CZ2,0.1879754513502121
CZ3,0.19100873172283173
O,0.1940419226884842
OH,0.19707518815994263
OD1,0.18812236189842224
OD2,0.17916953563690186
OE1,0.17021675407886505
OE2,0.16126391291618347
OG,0.16438227891921997
OG1,0.1690095216035843
N,0.17363673448562622
NE,0.17826396226882935
NE1,0.18515732884407043
NE2,0.19269739091396332
ND1,0.2002384215593338
ND2,0.20777937769889832
NZ,0.20451810956001282
NH1,0.19585682451725006
NH2,0.18719542026519775
SD,0.17853307723999023
SG,0.17468370497226715
UNKNOWN,0.17468370497226715
