atom_type,mean_importance
C,0.12262450158596039
CA,0.12262450158596039
CB,0.12442250549793243
CD,0.12846700847148895
CD1,0.13251210749149323
CD2,0.1365565061569214
CE,0.14096873998641968
CE1,0.1461145430803299
CE2,0.1512611210346222
CE3,0.1564076989889145
CG,0.1694733202457428
CG1,0.21025682985782623
CG2,0.2510395646095276
CH2,0.2918231189250946
CZ,0.3284895718097687
CZ2,0.33221936225891113
CZ3,0.33594927191734314
O,0.33967912197113037
OH,0.3434090316295624
OD1,0.33530399203300476
OD2,0.32719892263412476
OE1,0.3190939724445343
OE2,0.3109889626502991
OG,0.2929156422615051
OG1,0.2735961079597473
N,0.2542768716812134
NE,0.2349575310945511
NE1,0.2430223524570465
NE2,0.2589091360569
ND1,0.2747974097728729
ND2,0.29068565368652344
NZ,0.2836528420448303
NH1,0.26516032218933105
NH2,0.24666772782802582
SD,0.22817644476890564
SG,0.2199573814868927
UNKNOWN,0.2199573814868927
