atom_type,importance
C,0.11510435491800308
CA,0.11510435491800308
CB,0.12299375236034393
CD,0.14074495434761047
CD1,0.15849493443965912
CD2,0.17624616622924805
CE,0.18633346259593964
CE1,0.1810929924249649
CE2,0.1758524775505066
CE3,0.1706131398677826
CG,0.16615454852581024
CG1,0.16443228721618652
CG2,0.1627100706100464
CH2,0.16098783910274506
CZ,0.16142632067203522
CZ2,0.17915013432502747
CZ3,0.1968739926815033
O,0.2145976573228836
OH,0.23232053220272064
OD1,0.2214951366186142
OD2,0.21067079901695251
OE1,0.19984540343284607
OE2,0.18902000784873962
OG,0.18241074681282043
OG1,0.17632858455181122
N,0.17024634778499603
NE,0.16416418552398682
NE1,0.16832146048545837
NE2,0.17540396749973297
ND1,0.182486429810524
ND2,0.189568892121315
NZ,0.1906200498342514
NH1,0.18865546584129333
NH2,0.18669091165065765
SD,0.1847262680530548
SG,0.18385301530361176
UNKNOWN,0.18385301530361176
