atom_type,importance
C,0.08790647238492966
CA,0.08790647238492966
CB,0.09748660773038864
CD,0.11904234439134598
CD1,0.14059804379940033
CD2,0.16215376555919647
CE,0.1801452934741974
CE1,0.19100746512413025
CE2,0.2018706202507019
CE3,0.21273279190063477
CG,0.2203858643770218
CG1,0.21680676937103271
CG2,0.21322762966156006
CH2,0.20964853465557098
CZ,0.20822347700595856
CZ2,0.22403116524219513
CZ3,0.23983889818191528
O,0.2556465268135071
OH,0.27145418524742126
OD1,0.26012322306632996
OD2,0.2487921416759491
OE1,0.23746126890182495
OE2,0.22613026201725006
OG,0.2136894166469574
OG1,0.2011099010705948
N,0.18853037059307098
NE,0.17595084011554718
NE1,0.17957891523838043
NE2,0.1878369152545929
ND1,0.19609379768371582
ND2,0.20435179769992828
NZ,0.20661617815494537
NH1,0.2058843970298767
NH2,0.20515257120132446
SD,0.20442081987857819
SG,0.20409557223320007
UNKNOWN,0.20409557223320007
