atom_type,importance
C,0.07184085249900818
CA,0.07184085249900818
CB,0.08401654660701752
CD,0.11141109466552734
CD1,0.1388060450553894
CD2,0.16620025038719177
CE,0.1862339973449707
CE1,0.19154228270053864
CE2,0.1968504935503006
CE3,0.20215880870819092
CG,0.20685230195522308
CG1,0.20938973128795624
CG2,0.21192717552185059
CH2,0.2144646942615509
CZ,0.2180454283952713
CZ2,0.22997237741947174
CZ3,0.24189934134483337
O,0.2538263499736786
OH,0.2657531797885895
OD1,0.24886152148246765
OD2,0.23196980357170105
OE1,0.21507799625396729
OE2,0.1981862634420395
OG,0.1852579563856125
OG1,0.1728249490261078
N,0.16039203107357025
NE,0.14795905351638794
NE1,0.15041813254356384
NE2,0.1571316421031952
ND1,0.16384519636631012
ND2,0.17055876553058624
NZ,0.1701255738735199
NH1,0.166118323802948
NH2,0.16211114823818207
SD,0.15810395777225494
SG,0.15632271766662598
UNKNOWN,0.15632271766662598
