atom_type,importance
C,0.15709426999092102
CA,0.15709426999092102
CB,0.16961541771888733
CD,0.1977880299091339
CD1,0.2259606420993805
CD2,0.25413429737091064
CE,0.2671501040458679
CE1,0.24985428154468536
CE2,0.23255625367164612
CE3,0.21526038646697998
CG,0.19844593107700348
CG1,0.18331918120384216
CG2,0.16819238662719727
CH2,0.15306563675403595
CZ,0.14071932435035706
CZ2,0.15061646699905396
CZ3,0.16051368415355682
O,0.1704108715057373
OH,0.180307999253273
OD1,0.18029823899269104
OD2,0.1802884340286255
OE1,0.18027859926223755
OE2,0.18026874959468842
OG,0.17382094264030457
OG1,0.16656829416751862
N,0.15931569039821625
NE,0.15206307172775269
NE1,0.14509618282318115
NE2,0.1382119059562683
ND1,0.13132761418819427
ND2,0.12444224208593369
NZ,0.12292923033237457
NH1,0.1241011694073677
NH2,0.1252724528312683
SD,0.12644456326961517
SG,0.1269654929637909
UNKNOWN,0.1269654929637909
