atom_type,importance
C,0.09518801420927048
CA,0.09518801420927048
CB,0.10233282297849655
CD,0.1184084340929985
CD1,0.13448461890220642
CD2,0.15056078135967255
CE,0.15971896052360535
CE1,0.15504224598407745
CE2,0.15036562085151672
CE3,0.14568889141082764
CG,0.14156216382980347
CG1,0.13936133682727814
CG2,0.137160524725914
CH2,0.13495966792106628
CZ,0.13486060500144958
CZ2,0.15157562494277954
CZ3,0.1682906150817871
O,0.18500563502311707
OH,0.20172065496444702
OD1,0.19922932982444763
OD2,0.19673795998096466
OE1,0.19424667954444885
OE2,0.19175530970096588
OG,0.19091470539569855
OG1,0.19028054177761078
N,0.18964633345603943
NE,0.18901211023330688
NE1,0.1911868304014206
NE2,0.19416527450084686
ND1,0.1971425563097
ND2,0.2001209706068039
NZ,0.19444197416305542
NH1,0.1844349056482315
NH2,0.1744265854358673
SD,0.1644195318222046
SG,0.15997271239757538
UNKNOWN,0.15997271239757538
