atom_type,importance
C,0.21074438095092773
CA,0.21074438095092773
CB,0.2182992845773697
CD,0.23529759049415588
CD1,0.2522977590560913
CD2,0.2692960798740387
CE,0.2746254503726959
CE1,0.25661900639533997
CE2,0.23861248791217804
CE3,0.22060440480709076
CG,0.20501716434955597
CG1,0.19789506494998932
CG2,0.1907729059457779
CH2,0.18365074694156647
CZ,0.17815010249614716
CZ2,0.1856217086315155
CZ3,0.19309324026107788
O,0.20056475698947906
OH,0.20803628861904144
OD1,0.2198735773563385
OD2,0.2317107915878296
OE1,0.24354809522628784
OE2,0.2553853988647461
OG,0.2455615997314453
OG1,0.23303034901618958
N,0.22049900889396667
NE,0.207967609167099
NE1,0.20616847276687622
NE2,0.2074355185031891
ND1,0.2087024748325348
ND2,0.20996952056884766
NZ,0.20102576911449432
NH1,0.18697749078273773
NH2,0.17292824387550354
SD,0.15888001024723053
SG,0.1526360660791397
UNKNOWN,0.1526360660791397
