atom_type,importance
C,0.0907321497797966
CA,0.0907321497797966
CB,0.09593556821346283
CD,0.10764183104038239
CD1,0.11934825778007507
CD2,0.1310558021068573
CE,0.13709956407546997
CE1,0.13181690871715546
CE2,0.12653571367263794
CE3,0.12125308066606522
CG,0.11734133213758469
CG1,0.11822428554296494
CG2,0.11910722404718399
CH2,0.11999015510082245
CZ,0.12125983834266663
CZ2,0.12562324106693268
CZ3,0.12998662889003754
O,0.13435007631778717
OH,0.13871349394321442
OD1,0.13291265070438385
OD2,0.12711180746555328
OE1,0.12131093442440033
OE2,0.11551007628440857
OG,0.09962882101535797
OG1,0.08248747140169144
N,0.0653461366891861
NE,0.048205189406871796
NE1,0.04787152260541916
NE2,0.052340373396873474
ND1,0.056809064000844955
ND2,0.061277370899915695
NZ,0.0727526992559433
NH1,0.0877305269241333
NH2,0.1027090921998024
SD,0.11768703162670135
SG,0.12434372305870056
UNKNOWN,0.12434372305870056
