atom_type,importance
C,0.16941022872924805
CA,0.16941022872924805
CB,0.18148952722549438
CD,0.20866914093494415
CD1,0.23584803938865662
CD2,0.26302704215049744
CE,0.2825414836406708
CE1,0.28672823309898376
CE2,0.2909137010574341
CE3,0.29509928822517395
CG,0.29612523317337036
CG1,0.2860867977142334
CG2,0.2760483920574188
CH2,0.2660101652145386
CZ,0.25582900643348694
CZ2,0.24450615048408508
CZ3,0.2331833392381668
O,0.22186048328876495
OH,0.21053703129291534
OD1,0.21417498588562012
OD2,0.21781328320503235
OE1,0.22145144641399384
OE2,0.22508937120437622
OG,0.22712267935276031
OG1,0.2289554327726364
N,0.23078814148902893
NE,0.23262082040309906
NE1,0.22980131208896637
NE2,0.22565340995788574
ND1,0.2215043604373932
ND2,0.21735629439353943
NZ,0.21129071712493896
NH1,0.20426641404628754
NH2,0.19724197685718536
SD,0.19021764397621155
SG,0.18709538877010345
UNKNOWN,0.18709538877010345
