atom_type,importance
C,0.0997493639588356
CA,0.0997493639588356
CB,0.10527559369802475
CD,0.11770959198474884
CD1,0.13014298677444458
CD2,0.14257760345935822
CE,0.15117000043392181
CE1,0.152080237865448
CE2,0.15299053490161896
CE3,0.1539020538330078
CG,0.15838560461997986
CG1,0.1753779649734497
CG2,0.19237032532691956
CH2,0.2093627005815506
CZ,0.22465629875659943
CZ2,0.22634898126125336
CZ3,0.2280416637659073
O,0.22973431646823883
OH,0.23142702877521515
OD1,0.21280412375926971
OD2,0.19418247044086456
OE1,0.1755608171224594
OE2,0.15693914890289307
OG,0.1493358463048935
OG1,0.14310982823371887
N,0.13688378036022186
NE,0.13065773248672485
NE1,0.12038329988718033
NE2,0.10895295441150665
ND1,0.0975223183631897
ND2,0.0860915258526802
NZ,0.08593297749757767
NH1,0.09140999615192413
NH2,0.09688698500394821
SD,0.1023639589548111
SG,0.10479801148176193
UNKNOWN,0.10479801148176193
