atom_type,importance
C,0.09769655019044876
CA,0.09769655019044876
CB,0.10693854093551636
CD,0.1277342289686203
CD1,0.1485292613506317
CD2,0.1693229377269745
CE,0.1829235851764679
CE1,0.18213556706905365
CE2,0.18134623765945435
CE3,0.1805581897497177
CG,0.17800411581993103
CG1,0.16927488148212433
CG2,0.16054563224315643
CH2,0.15181641280651093
CZ,0.14503097534179688
CZ2,0.1537957638502121
CZ3,0.1625606119632721
O,0.1713254451751709
OH,0.18009024858474731
OD1,0.18177972733974457
OD2,0.18346922099590302
OE1,0.18515872955322266
OE2,0.1868482381105423
OG,0.18701425194740295
OG1,0.18698984384536743
N,0.1869654506444931
NE,0.1869410276412964
NE1,0.1801823228597641
NE2,0.17149955034255981
ND1,0.16281670331954956
ND2,0.15413394570350647
NZ,0.1511433869600296
NH1,0.15100111067295074
NH2,0.15085875988006592
SD,0.15071621537208557
SG,0.1506529301404953
UNKNOWN,0.1506529301404953
