atom_type,importance
C,0.15635009109973907
CA,0.15635009109973907
CB,0.16219469904899597
CD,0.1753443479537964
CD1,0.18849408626556396
CD2,0.2016436904668808
CE,0.2129257470369339
CE1,0.2204711139202118
CE2,0.22801654040813446
CE3,0.23556306958198547
CG,0.2450181096792221
CG1,0.2611585259437561
CG2,0.2772989571094513
CH2,0.29343926906585693
CZ,0.30599066615104675
CZ2,0.28983157873153687
CZ3,0.27367228269577026
O,0.2575130760669708
OH,0.24135373532772064
OD1,0.25056731700897217
OD2,0.2597809135913849
OE1,0.2689945697784424
OE2,0.2782081365585327
OG,0.2715456783771515
OG1,0.26289868354797363
N,0.2542518377304077
NE,0.24560482800006866
NE1,0.25620344281196594
NE2,0.2723006010055542
ND1,0.2883974313735962
ND2,0.30449438095092773
NZ,0.29781803488731384
NH1,0.2797555923461914
NH2,0.26169294118881226
SD,0.2436305433511734
SG,0.23560236394405365
UNKNOWN,0.23560236394405365
