atom_type,importance
C,0.06538479030132294
CA,0.06538479030132294
CB,0.07264555245637894
CD,0.08898180723190308
CD1,0.10531807690858841
CD2,0.12165479362010956
CE,0.14285233616828918
CE1,0.17377091944217682
CE2,0.204690620303154
CE3,0.23560918867588043
CG,0.2575952410697937
CG1,0.24831220507621765
CG2,0.23902907967567444
CH2,0.2297459989786148
CZ,0.22167037427425385
CZ2,0.2232559472322464
CZ3,0.2248414307832718
O,0.22642697393894196
OH,0.22801247239112854
OD1,0.21994031965732574
OD2,0.21186783909797668
OE1,0.20379610359668732
OE2,0.19572444260120392
OG,0.18759852647781372
OG1,0.17946593463420868
N,0.17133329808712006
NE,0.16320066154003143
NE1,0.16799356043338776
NE2,0.1764775514602661
ND1,0.18496257066726685
ND2,0.19344770908355713
NZ,0.19861160218715668
NH1,0.2021143138408661
NH2,0.2056170403957367
SD,0.2091197967529297
SG,0.21067671477794647
UNKNOWN,0.21067671477794647
