atom_type,importance
C,0.10048279911279678
CA,0.10048279911279678
CB,0.10776561498641968
CD,0.12415158748626709
CD1,0.1405375897884369
CD2,0.15692497789859772
CE,0.16456268727779388
CE1,0.15470528602600098
CE2,0.144846573472023
CE3,0.1349891573190689
CG,0.1244354099035263
CG1,0.11144407838582993
CG2,0.09845267981290817
CH2,0.08546135574579239
CZ,0.07465959340333939
CZ2,0.08137449622154236
CZ3,0.08808939903974533
O,0.0948042944073677
OH,0.10151918232440948
OD1,0.1020185798406601
OD2,0.10251794755458832
OE1,0.10301733016967773
OE2,0.10351671278476715
OG,0.10507408529520035
OG1,0.10676375031471252
N,0.10845335572957993
NE,0.11014299839735031
NE1,0.1172359436750412
NE2,0.12587347626686096
ND1,0.13451099395751953
ND2,0.14314711093902588
NZ,0.1505626142024994
NH1,0.15736635029315948
NH2,0.16417011618614197
SD,0.17097383737564087
SG,0.1739969700574875
UNKNOWN,0.1739969700574875
