atom_type,importance
C,0.1054307296872139
CA,0.1054307296872139
CB,0.10722288489341736
CD,0.11125548183917999
CD1,0.11528812348842621
CD2,0.11932067573070526
CE,0.12638916075229645
CE1,0.13952848315238953
CE2,0.15266872942447662
CE3,0.1658080518245697
CG,0.17706209421157837
CG1,0.1817176789045334
CG2,0.1863732784986496
CH2,0.191028892993927
CZ,0.19678711891174316
CZ2,0.21136631071567535
CZ3,0.22594650089740753
O,0.2405257374048233
OH,0.2551049292087555
OD1,0.253714919090271
OD2,0.25232481956481934
OE1,0.2509347200393677
OE2,0.24954454600811005
OG,0.2441413551568985
OG1,0.23823638260364532
N,0.23233149945735931
NE,0.22642651200294495
NE1,0.2234734296798706
NE2,0.22136428952217102
ND1,0.21925508975982666
ND2,0.21714596450328827
NZ,0.21411755681037903
NH1,0.21063101291656494
NH2,0.20714344084262848
SD,0.20365585386753082
SG,0.20210619270801544
UNKNOWN,0.20210619270801544
