atom_type,importance
C,0.05349297076463699
CA,0.05349297076463699
CB,0.06041191890835762
CD,0.0759802833199501
CD1,0.09154865890741348
CD2,0.10711628198623657
CE,0.11889626830816269
CE1,0.12310028076171875
CE2,0.12730422616004944
CE3,0.1315067559480667
CG,0.13501965999603271
CG1,0.13611473143100739
CG2,0.13720978796482086
CH2,0.13830481469631195
CZ,0.13822810351848602
CZ2,0.12877705693244934
CZ3,0.11932601779699326
O,0.10987526178359985
OH,0.10042466223239899
OD1,0.0987745076417923
OD2,0.0971243605017662
OE1,0.09547420591115952
OE2,0.09382405877113342
OG,0.09585124254226685
OG1,0.09833811223506927
N,0.10082496702671051
NE,0.10331182181835175
NE1,0.10489194840192795
NE2,0.10621260106563568
ND1,0.10753331333398819
ND2,0.10885463654994965
NZ,0.11291167885065079
NH1,0.11833761632442474
NH2,0.12376252561807632
SD,0.12918807566165924
SG,0.1315995454788208
UNKNOWN,0.1315995454788208
