atom_type,importance
C,0.0765402615070343
CA,0.0765402615070343
CB,0.08155655115842819
CD,0.09284377098083496
CD1,0.10413169860839844
CD2,0.1154189333319664
CE,0.12411002814769745
CE1,0.12760889530181885
CE2,0.13110779225826263
CE3,0.13460516929626465
CG,0.13761840760707855
CG1,0.13892975449562073
CG2,0.1402411013841629
CH2,0.14155246317386627
CZ,0.14135228097438812
CZ2,0.12906023859977722
CZ3,0.11676817387342453
O,0.10447607189416885
OH,0.09218400716781616
OD1,0.08932613581418991
OD2,0.08646824210882187
OE1,0.08361035585403442
OE2,0.08075247704982758
OG,0.07935770601034164
OG1,0.07814580202102661
N,0.07693390548229218
NE,0.07572202384471893
NE1,0.07675030082464218
NE2,0.07841938734054565
ND1,0.08008845895528793
ND2,0.08175751566886902
NZ,0.09242232143878937
NH1,0.10758426785469055
NH2,0.12274666875600815
SD,0.1379092037677765
SG,0.14464780688285828
UNKNOWN,0.14464780688285828
