atom_type,importance
C,0.057672157883644104
CA,0.057672157883644104
CB,0.0611223429441452
CD,0.06888675689697266
CD1,0.07665041089057922
CD2,0.0844140350818634
CE,0.08575916290283203
CE1,0.07426568865776062
CE2,0.06277142465114594
CE3,0.051277969032526016
CG,0.04193916171789169
CG1,0.04014068841934204
CG2,0.03834221884608269
CH2,0.036543749272823334
CZ,0.03519376367330551
CZ2,0.03743160888552666
CZ3,0.039669446647167206
O,0.04190728813409805
OH,0.0441451221704483
OD1,0.043011683970689774
OD2,0.04187825322151184
OE1,0.04074482247233391
OE2,0.039611395448446274
OG,0.038617655634880066
OG1,0.03764137253165245
N,0.036665093153715134
NE,0.03568881377577782
NE1,0.03668966144323349
NE2,0.038255415856838226
ND1,0.03982115909457207
ND2,0.04138731583952904
NZ,0.053333982825279236
NH1,0.07047048211097717
NH2,0.08760754764080048
SD,0.10474459826946259
SG,0.11236108094453812
UNKNOWN,0.11236108094453812
