atom_type,importance
C,0.08661679923534393
CA,0.08661679923534393
CB,0.0971631184220314
CD,0.12089353054761887
CD1,0.1446228176355362
CD2,0.16835322976112366
CE,0.18991400301456451
CE1,0.20713664591312408
CE2,0.22435922920703888
CE3,0.24158190190792084
CG,0.2564062476158142
CG1,0.2628380358219147
CG2,0.2692698538303375
CH2,0.27570173144340515
CZ,0.27950984239578247
CZ2,0.2623286545276642
CZ3,0.24514752626419067
O,0.22796630859375
OH,0.2107863575220108
OD1,0.20057521760463715
OD2,0.1903640329837799
OE1,0.18015289306640625
OE2,0.16994169354438782
OG,0.15987302362918854
OG1,0.14982210099697113
N,0.1397712379693985
NE,0.12972040474414825
NE1,0.12238170951604843
NE2,0.11581870913505554
ND1,0.10925471037626266
ND2,0.10269118845462799
NZ,0.10098547488451004
NH1,0.10170869529247284
NH2,0.10243187844753265
SD,0.1031545102596283
SG,0.10347594320774078
UNKNOWN,0.10347594320774078
