atom_type,importance
C,0.10720771551132202
CA,0.10720771551132202
CB,0.11042805016040802
CD,0.1176733672618866
CD1,0.12491873651742935
CD2,0.13216404616832733
CE,0.13692039251327515
CE1,0.13670101761817932
CE2,0.13648046553134918
CE3,0.13625994324684143
CG,0.13625238835811615
CG1,0.13699106872081757
CG2,0.13772974908351898
CH2,0.1384684443473816
CZ,0.14081169664859772
CZ2,0.15599149465560913
CZ3,0.17117127776145935
O,0.18635110557079315
OH,0.20153090357780457
OD1,0.2032221108675003
OD2,0.20491334795951843
OE1,0.20660455524921417
OE2,0.20829574763774872
OG,0.20635437965393066
OG1,0.20395895838737488
N,0.20156356692314148
NE,0.1991681605577469
NE1,0.1955283284187317
NE2,0.19153408706188202
ND1,0.18753984570503235
ND2,0.18354564905166626
NZ,0.1846773475408554
NH1,0.18837203085422516
NH2,0.1920667588710785
SD,0.1957625150680542
SG,0.19740444421768188
UNKNOWN,0.19740444421768188
