atom_type,importance
C,0.1305161863565445
CA,0.1305161863565445
CB,0.1389918029308319
CD,0.15806125104427338
CD1,0.17713071405887604
CD2,0.1962014138698578
CE,0.20442764461040497
CE1,0.19097130000591278
CE2,0.17751364409923553
CE3,0.1640559285879135
CG,0.1552857756614685
CG1,0.16291768848896027
CG2,0.17054955661296844
CH2,0.178181454539299
CZ,0.1842130571603775
CZ2,0.17744261026382446
CZ3,0.17067214846611023
O,0.16390171647071838
OH,0.15713125467300415
OD1,0.1371481865644455
OD2,0.11716511100530624
OE1,0.0971820279955864
OE2,0.07719894498586655
OG,0.07230052351951599
OG1,0.06928766518831253
N,0.06627483665943146
NE,0.063261978328228
NE1,0.06274408847093582
NE2,0.06293970346450806
ND1,0.06313466280698776
ND2,0.06333024799823761
NZ,0.06764381378889084
NH1,0.07401741296052933
NH2,0.0803905725479126
SD,0.0867636501789093
SG,0.08959653973579407
UNKNOWN,0.08959653973579407
