atom_type,importance
C,0.13269084692001343
CA,0.13269084692001343
CB,0.14141874015331268
CD,0.16105680167675018
CD1,0.18069492280483246
CD2,0.20033179223537445
CE,0.21373936533927917
CE1,0.21468482911586761
CE2,0.21563000977039337
CE3,0.216576486825943
CG,0.21640828251838684
CG1,0.2123442143201828
CG2,0.2082805186510086
CH2,0.20421679317951202
CZ,0.20099441707134247
CZ2,0.20450273156166077
CZ3,0.2080109864473343
O,0.2115192711353302
OH,0.21502774953842163
OD1,0.20752456784248352
OD2,0.20002160966396332
OE1,0.19251862168312073
OE2,0.18501561880111694
OG,0.18105213344097137
OG1,0.17753101885318756
N,0.1740100234746933
NE,0.17048895359039307
NE1,0.1712491661310196
NE2,0.17323264479637146
ND1,0.1752149909734726
ND2,0.17719849944114685
NZ,0.1771858036518097
NH1,0.17617514729499817
NH2,0.17516444623470306
SD,0.17415374517440796
SG,0.17370419204235077
UNKNOWN,0.17370419204235077
