atom_type,importance
C,0.10836870968341827
CA,0.10836870968341827
CB,0.11263562738895416
CD,0.12223675101995468
CD1,0.13183808326721191
CD2,0.14143845438957214
CE,0.14886604249477386
CE1,0.15194836258888245
CE2,0.15502959489822388
CE3,0.1581108421087265
CG,0.16532224416732788
CG1,0.18699058890342712
CG2,0.20865899324417114
CH2,0.23032833635807037
CZ,0.24876493215560913
CZ2,0.2413475513458252
CZ3,0.23393015563488007
O,0.22651280462741852
OH,0.21909502148628235
OD1,0.21635062992572784
OD2,0.2136063575744629
OE1,0.21086235344409943
OE2,0.20811839401721954
OG,0.2057340294122696
OG1,0.20339460670948029
N,0.2010551393032074
NE,0.19871579110622406
NE1,0.19936972856521606
NE2,0.2008780688047409
ND1,0.20238742232322693
ND2,0.2038957178592682
NZ,0.20438151061534882
NH1,0.20435504615306854
NH2,0.20432959496974945
SD,0.20430316030979156
SG,0.2042919099330902
UNKNOWN,0.2042919099330902
