atom_type,importance
C,0.08244079351425171
CA,0.08244079351425171
CB,0.09410140663385391
CD,0.12033826112747192
CD1,0.14657412469387054
CD2,0.17281103134155273
CE,0.19908875226974487
CE1,0.2254483550786972
CE2,0.2518090009689331
CE3,0.2781696021556854
CG,0.29653558135032654
CG1,0.2869235575199127
CG2,0.2773114740848541
CH2,0.26769939064979553
CZ,0.2605311870574951
CZ2,0.27291324734687805
CZ3,0.2852952480316162
O,0.29767730832099915
OH,0.3100593090057373
OD1,0.3001267910003662
OD2,0.2901943027973175
OE1,0.2802618443965912
OE2,0.2703292965888977
OG,0.26413804292678833
OG1,0.25841444730758667
N,0.2526909410953522
NE,0.2469673603773117
NE1,0.2542087137699127
NE2,0.26515406370162964
ND1,0.2760973274707794
ND2,0.2870425879955292
NZ,0.292363703250885
NH1,0.2948737144470215
NH2,0.29738178849220276
SD,0.299891859292984
SG,0.3010065257549286
UNKNOWN,0.3010065257549286
