atom_type,importance
C,0.12977716326713562
CA,0.12977716326713562
CB,0.13656027615070343
CD,0.1518220454454422
CD1,0.1670849323272705
CD2,0.18234673142433167
CE,0.19047044217586517
CE1,0.1843181550502777
CE2,0.17816585302352905
CE3,0.17201361060142517
CG,0.16556905210018158
CG1,0.15810108184814453
CG2,0.15063312649726868
CH2,0.14316514134407043
CZ,0.13902334868907928
CZ2,0.161491259932518
CZ3,0.18395912647247314
O,0.20642703771591187
OH,0.22889479994773865
OD1,0.22914454340934753
OD2,0.22939415276050568
OE1,0.2296438366174698
OE2,0.22989338636398315
OG,0.22241424024105072
OG1,0.213968887925148
N,0.2055235654115677
NE,0.19707821309566498
NE1,0.18869367241859436
NE2,0.18032695353031158
ND1,0.1719602644443512
ND2,0.1635936051607132
NZ,0.16017313301563263
NH1,0.15922683477401733
NH2,0.1582794189453125
SD,0.1573331654071808
SG,0.15691174566745758
UNKNOWN,0.15691174566745758
