atom_type,importance
C,0.12601520121097565
CA,0.12601520121097565
CB,0.13915278017520905
CD,0.16871277987957
CD1,0.19827188551425934
CD2,0.2278309315443039
CE,0.24711476266384125
CE1,0.24584414064884186
CE2,0.2445753961801529
CE3,0.24330490827560425
CG,0.23791974782943726
CG1,0.21813100576400757
CG2,0.1983422487974167
CH2,0.1785534769296646
CZ,0.16145449876785278
CZ2,0.1658739447593689
CZ3,0.170293390750885
O,0.17471274733543396
OH,0.17913216352462769
OD1,0.1908157616853714
OD2,0.20249931514263153
OE1,0.21418283879756927
OE2,0.22586636245250702
OG,0.2214108258485794
OG1,0.2149379700422287
N,0.2084650844335556
NE,0.2019922286272049
NE1,0.20258279144763947
NE2,0.20519153773784637
ND1,0.2078012377023697
ND2,0.21041007339954376
NZ,0.20647935569286346
NH1,0.1992788016796112
NH2,0.19207829236984253
SD,0.18487870693206787
SG,0.18167810142040253
UNKNOWN,0.18167810142040253
