atom_type,importance
C,0.10233869403600693
CA,0.10233869403600693
CB,0.11473898589611053
CD,0.1426386535167694
CD1,0.17053835093975067
CD2,0.19843876361846924
CE,0.21695399284362793
CE1,0.21670010685920715
CE2,0.21644584834575653
CE3,0.21619199216365814
CG,0.21610698103904724
CG1,0.21661366522312164
CG2,0.21712033450603485
CH2,0.21762695908546448
CZ,0.21804943680763245
CZ2,0.21779794991016388
CZ3,0.2175465077161789
O,0.21729505062103271
OH,0.21704353392124176
OD1,0.23367418348789215
OD2,0.2503047287464142
OE1,0.2669352889060974
OE2,0.2835659682750702
OG,0.2972908318042755
OG1,0.31065237522125244
N,0.3240138292312622
NE,0.33737537264823914
NE1,0.34142765402793884
NE2,0.3428193926811218
ND1,0.34421128034591675
ND2,0.3456030488014221
NZ,0.3338969349861145
NH1,0.3156413733959198
NH2,0.2973870038986206
SD,0.2791312634944916
SG,0.271017462015152
UNKNOWN,0.271017462015152
