atom_type,importance
C,0.1287820041179657
CA,0.1287820041179657
CB,0.13821645081043243
CD,0.15944135189056396
CD1,0.18066614866256714
CD2,0.20189107954502106
CE,0.212396502494812
CE1,0.20146046578884125
CE2,0.19052448868751526
CE3,0.17958718538284302
CG,0.1692192405462265
CG1,0.16083866357803345
CG2,0.1524580419063568
CH2,0.14407745003700256
CZ,0.1371532380580902
CZ2,0.1418798714876175
CZ3,0.14660651981830597
O,0.15133315324783325
OH,0.15605981647968292
OD1,0.14713162183761597
OD2,0.1382034868001938
OE1,0.1292753666639328
OE2,0.12034716457128525
OG,0.11903330683708191
OG1,0.11867116391658783
N,0.11830907315015793
NE,0.11794695258140564
NE1,0.1180209219455719
NE2,0.11821892857551575
ND1,0.11841819435358047
ND2,0.11861623078584671
NZ,0.12414681911468506
NH1,0.13234549760818481
NH2,0.14054302871227264
SD,0.14874054491519928
SG,0.15238440036773682
UNKNOWN,0.15238440036773682
