atom_type,importance
C,0.0701700747013092
CA,0.0701700747013092
CB,0.07733416557312012
CD,0.09345290809869766
CD1,0.10957154631614685
CD2,0.12569041550159454
CE,0.1408526599407196
CE1,0.15410301089286804
CE2,0.16735336184501648
CE3,0.1806037575006485
CG,0.19232827425003052
CG1,0.19871291518211365
CG2,0.20509758591651917
CH2,0.2114822268486023
CZ,0.215953528881073
CZ2,0.2051183134317398
CZ3,0.19428308308124542
O,0.18344788253307343
OH,0.17261271178722382
OD1,0.16582895815372467
OD2,0.15904532372951508
OE1,0.15226159989833832
OE2,0.14547792077064514
OG,0.14156776666641235
OG1,0.13801676034927368
N,0.1344657987356186
NE,0.1309148371219635
NE1,0.12685303390026093
NE2,0.12264663726091385
ND1,0.11844026297330856
ND2,0.11423380672931671
NZ,0.11862218379974365
NH1,0.12730741500854492
NH2,0.13599355518817902
SD,0.1446787416934967
SG,0.1485394984483719
UNKNOWN,0.1485394984483719
