atom_type,importance
C,0.09993154555559158
CA,0.09993154555559158
CB,0.10724364221096039
CD,0.12369722872972488
CD1,0.14014968276023865
CD2,0.1566021740436554
CE,0.17022672295570374
CE1,0.1781943440437317
CE2,0.18616199493408203
CE3,0.1941296011209488
CG,0.20188669860363007
CG1,0.20890918374061584
CG2,0.2159317284822464
CH2,0.2229541838169098
CZ,0.2303771674633026
CZ2,0.24100437760353088
CZ3,0.25163155794143677
O,0.26225870847702026
OH,0.27288582921028137
OD1,0.25530728697776794
OD2,0.23772870004177094
OE1,0.22015003859996796
OE2,0.20257145166397095
OG,0.19149698317050934
OG1,0.18123553693294525
N,0.17097407579421997
NE,0.1607126146554947
NE1,0.16040930151939392
NE2,0.16295114159584045
ND1,0.16549406945705414
ND2,0.16803590953350067
NZ,0.17069780826568604
NH1,0.17342080175876617
NH2,0.1761438548564911
SD,0.17886580526828766
SG,0.18007667362689972
UNKNOWN,0.18007665872573853
