atom_type,importance
C,0.07053597271442413
CA,0.07053597271442413
CB,0.07336844503879547
CD,0.0797417089343071
CD1,0.08611498028039932
CD2,0.09248822182416916
CE,0.09708856046199799
CE1,0.09814108908176422
CE2,0.09919362515211105
CE3,0.10024680197238922
CG,0.10519946366548538
CG1,0.12380261719226837
CG2,0.14240513741970062
CH2,0.1610075980424881
CZ,0.17806945741176605
CZ2,0.1828058809041977
CZ3,0.18754234910011292
O,0.19227881729602814
OH,0.19701525568962097
OD1,0.19137898087501526
OD2,0.18574267625808716
OE1,0.18010638654232025
OE2,0.17447012662887573
OG,0.17344985902309418
OG1,0.17300662398338318
N,0.17256338894367218
NE,0.1721200793981552
NE1,0.15902385115623474
NE2,0.14231286942958832
ND1,0.12560318410396576
ND2,0.10889220237731934
NZ,0.10343772172927856
NH1,0.10361052304506302
NH2,0.10378329455852509
SD,0.10395672917366028
SG,0.10403329133987427
UNKNOWN,0.10403329133987427
