atom_type,importance
C,0.08461461961269379
CA,0.08461461961269379
CB,0.08884554356336594
CD,0.09836526960134506
CD1,0.107884980738163
CD2,0.11740454286336899
CE,0.12479688972234726
CE1,0.1279381513595581
CE2,0.13107945024967194
CE3,0.134220689535141
CG,0.13866634666919708
CG1,0.14767864346504211
CG2,0.15669099986553192
CH2,0.16570329666137695
CZ,0.17321385443210602
CZ2,0.16871023178100586
CZ3,0.16420666873455048
O,0.15970301628112793
OH,0.15519940853118896
OD1,0.14512838423252106
OD2,0.13505740463733673
OE1,0.12498638033866882
OE2,0.1149153932929039
OG,0.10324669629335403
OG1,0.09137827903032303
N,0.0795099064707756
NE,0.06764151901006699
NE1,0.07572844624519348
NE2,0.08951734006404877
ND1,0.10330553352832794
ND2,0.11709443479776382
NZ,0.1291770339012146
NH1,0.14040647447109222
NH2,0.15163592994213104
SD,0.1628667116165161
SG,0.16785748302936554
UNKNOWN,0.16785748302936554
