atom_type,importance
C,0.08434396237134933
CA,0.08434396237134933
CB,0.08867904543876648
CD,0.0984334647655487
CD1,0.10818786919116974
CD2,0.11794223636388779
CE,0.12445542961359024
CE1,0.12448616325855255
CE2,0.12451811134815216
CE3,0.12454882264137268
CG,0.1241406723856926
CG1,0.12219668179750443
CG2,0.12025268375873566
CH2,0.1183086559176445
CZ,0.11846063286066055
CZ2,0.1353800743818283
CZ3,0.15229953825473785
O,0.169218972325325
OH,0.18613839149475098
OD1,0.19459232687950134
OD2,0.20304623246192932
OE1,0.2115001380443573
OE2,0.21995407342910767
OG,0.21725545823574066
OG1,0.21316267549991608
N,0.20907001197338104
NE,0.20497730374336243
NE1,0.2113126814365387
NE2,0.22062696516513824
ND1,0.22993983328342438
ND2,0.23925450444221497
NZ,0.23968897759914398
NH1,0.23568271100521088
NH2,0.2316756248474121
SD,0.22766897082328796
SG,0.2258894294500351
UNKNOWN,0.2258894294500351
