atom_type,importance
C,0.08502758294343948
CA,0.08502758294343948
CB,0.08781698346138
CD,0.09409259259700775
CD1,0.10036877542734146
CD2,0.10664438456296921
CE,0.10933955013751984
CE1,0.1048726737499237
CE2,0.10040581971406937
CE3,0.09593896567821503
CG,0.09211213141679764
CG1,0.0905238687992096
CG2,0.08893556892871857
CH2,0.08734728395938873
CZ,0.08811867982149124
CZ2,0.1077677309513092
CZ3,0.12741675972938538
O,0.14706581830978394
OH,0.1667148321866989
OD1,0.17383967339992523
OD2,0.18096449971199036
OE1,0.1880892962217331
OE2,0.19521407783031464
OG,0.19192537665367126
OG1,0.18733493983745575
N,0.18274441361427307
NE,0.17815405130386353
NE1,0.18984860181808472
NE2,0.20619603991508484
ND1,0.22254376113414764
ND2,0.2388930767774582
NZ,0.2369053214788437
NH1,0.22575417160987854
NH2,0.2146015465259552
SD,0.20344963669776917
SG,0.19849291443824768
UNKNOWN,0.19849291443824768
