atom_type,importance
C,0.1930449903011322
CA,0.1930449903011322
CB,0.2007867395877838
CD,0.21820513904094696
CD1,0.2356235533952713
CD2,0.25304195284843445
CE,0.2554387152194977
CE1,0.2277960479259491
CE2,0.2001512497663498
CE3,0.17250755429267883
CG,0.15361282229423523
CG1,0.16533683240413666
CG2,0.17706090211868286
CH2,0.18878497183322906
CZ,0.20099608600139618
CZ2,0.21710380911827087
CZ3,0.23321130871772766
O,0.24931932985782623
OH,0.26542747020721436
OD1,0.2445428967475891
OD2,0.2236585021018982
OE1,0.20277497172355652
OE2,0.18189038336277008
OG,0.1688297986984253
OG1,0.15674708783626556
N,0.144664466381073
NE,0.13258175551891327
NE1,0.13940277695655823
NE2,0.15162500739097595
ND1,0.1638472080230713
ND2,0.17606942355632782
NZ,0.17842604219913483
NH1,0.17584890127182007
NH2,0.17327278852462769
SD,0.17069561779499054
SG,0.16955126821994781
UNKNOWN,0.169551283121109
