atom_type,importance
C,0.09130717068910599
CA,0.09130717068910599
CB,0.09336823225021362
CD,0.09800505638122559
CD1,0.10264185816049576
CD2,0.10727927088737488
CE,0.11169140785932541
CE1,0.11565334349870682
CE2,0.1196158230304718
CE3,0.12357679754495621
CG,0.130163311958313
CG1,0.1459323614835739
CG2,0.16170147061347961
CH2,0.17747052013874054
CZ,0.1909223198890686
CZ2,0.18583571910858154
CZ3,0.1807490885257721
O,0.17566251754760742
OH,0.17057596147060394
OD1,0.1738320291042328
OD2,0.1770881712436676
OE1,0.18034423887729645
OE2,0.1836003214120865
OG,0.17583146691322327
OG1,0.16668440401554108
N,0.15753740072250366
NE,0.14839038252830505
NE1,0.1486809104681015
NE2,0.15166744589805603
ND1,0.15465404093265533
ND2,0.15764056146144867
NZ,0.1674196422100067
NH1,0.1805948168039322
NH2,0.19377009570598602
SD,0.20694534480571747
SG,0.212800070643425
UNKNOWN,0.212800070643425
