atom_type,importance
C,0.07978679984807968
CA,0.07978679984807968
CB,0.0884772464632988
CD,0.10803180932998657
CD1,0.1275862604379654
CD2,0.14714141190052032
CE,0.16333790123462677
CE1,0.17281962931156158
CE2,0.18230269849300385
CE3,0.19178445637226105
CG,0.19779156148433685
CG1,0.1916341632604599
CG2,0.1854768544435501
CH2,0.17931944131851196
CZ,0.1732715666294098
CZ2,0.16809970140457153
CZ3,0.16292789578437805
O,0.15775597095489502
OH,0.15258413553237915
OD1,0.14537546038627625
OD2,0.13816680014133453
OE1,0.13095815479755402
OE2,0.12374953180551529
OG,0.12277650088071823
OG1,0.12258297204971313
N,0.12238938361406326
NE,0.12219583988189697
NE1,0.11894753575325012
NE2,0.11482603847980499
ND1,0.11070583015680313
ND2,0.10658498108386993
NZ,0.10503281652927399
NH1,0.10476439446210861
NH2,0.10449656844139099
SD,0.10422876477241516
SG,0.10410932451486588
UNKNOWN,0.10410932451486588
