atom_type,importance
C,0.06085648760199547
CA,0.06085648760199547
CB,0.06705307960510254
CD,0.08099520206451416
CD1,0.09493808448314667
CD2,0.10888020694255829
CE,0.11655265837907791
CE1,0.11168575286865234
CE2,0.10681808739900589
CE3,0.10195117443799973
CG,0.09715843200683594
CG1,0.09262600541114807
CG2,0.08809356391429901
CH2,0.08356113731861115
CZ,0.08021188527345657
CZ2,0.08632781356573105
CZ3,0.09244373440742493
O,0.0985596552491188
OH,0.10467558354139328
OD1,0.10283803194761276
OD2,0.10100048780441284
OE1,0.09916292876005173
OE2,0.09732535481452942
OG,0.09387101978063583
OG1,0.0902145504951477
N,0.08655811101198196
NE,0.08290166407823563
NE1,0.07570386677980423
NE2,0.06749414652585983
ND1,0.05928440019488335
ND2,0.051074687391519547
NZ,0.053822919726371765
NH1,0.06204984709620476
NH2,0.07027684152126312
SD,0.0785037949681282
SG,0.0821601152420044
UNKNOWN,0.0821601152420044
