atom_type,importance
C,0.1401490569114685
CA,0.1401490569114685
CB,0.15251722931861877
CD,0.180345818400383
CD1,0.20817440748214722
CD2,0.23600290715694427
CE,0.24881210923194885
CE1,0.23158490657806396
CE2,0.2143576592206955
CE3,0.19713051617145538
CG,0.18133965134620667
CG1,0.1705758273601532
CG2,0.15981203317642212
CH2,0.14904819428920746
CZ,0.14010955393314362
CZ2,0.14577198028564453
CZ3,0.15143443644046783
O,0.15709686279296875
OH,0.16275933384895325
OD1,0.1702328473329544
OD2,0.17770640552043915
OE1,0.18517988920211792
OE2,0.19265341758728027
OG,0.1858154535293579
OG1,0.17718851566314697
N,0.16856154799461365
NE,0.15993458032608032
NE1,0.15649843215942383
NE2,0.1545436531305313
ND1,0.15259018540382385
ND2,0.15063542127609253
NZ,0.1492030769586563
NH1,0.1480289101600647
NH2,0.14685600996017456
SD,0.14568306505680084
SG,0.1451619416475296
UNKNOWN,0.1451619416475296
