atom_type,importance
C,0.0968017652630806
CA,0.0968017652630806
CB,0.10350251942873001
CD,0.1185794547200203
CD1,0.13365645706653595
CD2,0.14873217046260834
CE,0.15664850175380707
CE1,0.15024124085903168
CE2,0.14383268356323242
CE3,0.13742537796497345
CG,0.13610489666461945
CG1,0.15258589386940002
CG2,0.1690669059753418
CH2,0.18554790318012238
CZ,0.19950945675373077
CZ2,0.19331546127796173
CZ3,0.18712148070335388
O,0.18092748522758484
OH,0.17473351955413818
OD1,0.17677852511405945
OD2,0.17882348597049713
OE1,0.1808684766292572
OE2,0.18291348218917847
OG,0.17666639387607574
OG1,0.16938282549381256
N,0.16209924221038818
NE,0.154815673828125
NE1,0.15633758902549744
NE2,0.16037625074386597
ND1,0.16441486775875092
ND2,0.16845224797725677
NZ,0.17341332137584686
NH1,0.1788356453180313
NH2,0.18425919115543365
SD,0.1896815001964569
SG,0.19209033250808716
UNKNOWN,0.19209033250808716
