atom_type,importance
C,0.1544310450553894
CA,0.1544310450553894
CB,0.16668660938739777
CD,0.19426393508911133
CD1,0.22184202075004578
CD2,0.24941854178905487
CE,0.2612365782260895
CE1,0.241535946726799
CE2,0.2218330353498459
CE3,0.2021324336528778
CG,0.18432782590389252
CG1,0.17316202819347382
CG2,0.1619962751865387
CH2,0.15083047747612
CZ,0.14145943522453308
CZ2,0.14644627273082733
CZ3,0.15143314003944397
O,0.15641993284225464
OH,0.16140678524971008
OD1,0.15821026265621185
OD2,0.15501369535923004
OE1,0.15181715786457062
OE2,0.1486205756664276
OG,0.15087158977985382
OG1,0.1538034826517105
N,0.1567354053258896
NE,0.15966729819774628
NE1,0.15733209252357483
NE2,0.15349319577217102
ND1,0.1496542990207672
ND2,0.1458142250776291
NZ,0.1470584273338318
NH1,0.1508442461490631
NH2,0.15463010966777802
SD,0.15841592848300934
SG,0.1600995659828186
UNKNOWN,0.1600995659828186
