atom_type,importance
C,0.07875148952007294
CA,0.07875148952007294
CB,0.08384697884321213
CD,0.09531135857105255
CD1,0.10677625983953476
CD2,0.11824063956737518
CE,0.13089005649089813
CE1,0.14591021835803986
CE2,0.16092947125434875
CE3,0.17594873905181885
CG,0.19204767048358917
CG1,0.21192432940006256
CG2,0.2318010777235031
CH2,0.25167784094810486
CZ,0.2702990472316742
CZ2,0.27887624502182007
CZ3,0.28745344281196594
O,0.2960306704044342
OH,0.304608017206192
OD1,0.2964225113391876
OD2,0.288237065076828
OE1,0.280051589012146
OE2,0.27186623215675354
OG,0.25990360975265503
OG1,0.24746891856193542
N,0.23503410816192627
NE,0.22259943187236786
NE1,0.22275784611701965
NE2,0.22651517391204834
ND1,0.23027196526527405
ND2,0.23402772843837738
NZ,0.2326696515083313
NH1,0.22875429689884186
NH2,0.22483840584754944
SD,0.22092366218566895
SG,0.21918275952339172
UNKNOWN,0.21918275952339172
