atom_type,importance
C,0.06667743623256683
CA,0.06667743623256683
CB,0.0680374950170517
CD,0.0710974931716919
CD1,0.07415691018104553
CD2,0.07721636444330215
CE,0.0787326768040657
CE1,0.0771622285246849
CE2,0.07559118419885635
CE3,0.07402072846889496
CG,0.08015180379152298
CG1,0.1132405623793602
CG2,0.14632882177829742
CH2,0.1794169843196869
CZ,0.20954720675945282
CZ2,0.2160133421421051
CZ3,0.222479447722435
O,0.22894561290740967
OH,0.2354116290807724
OD1,0.2225501984357834
OD2,0.20968875288963318
OE1,0.19682732224464417
OE2,0.18396584689617157
OG,0.1740691065788269
OG1,0.16454294323921204
N,0.15501679480075836
NE,0.1454906165599823
NE1,0.14003059267997742
NE2,0.13573235273361206
ND1,0.13143520057201385
ND2,0.12713691592216492
NZ,0.12472216039896011
NH1,0.12324939668178558
NH2,0.12177655845880508
SD,0.12030399590730667
SG,0.1196490004658699
UNKNOWN,0.1196490004658699
