atom_type,importance
C,0.1544944941997528
CA,0.1544944941997528
CB,0.1669815182685852
CD,0.19507746398448944
CD1,0.22317421436309814
CD2,0.25127026438713074
CE,0.27090272307395935
CE1,0.2736116647720337
CE2,0.27631875872612
CE3,0.2790278196334839
CG,0.27799075841903687
CG1,0.26385319232940674
CG2,0.24971577525138855
CH2,0.23557838797569275
CZ,0.22283287346363068
CZ2,0.22122275829315186
CZ3,0.21961288154125214
O,0.21800300478935242
OH,0.21639315783977509
OD1,0.2136979103088379
OD2,0.21100232005119324
OE1,0.20830678939819336
OE2,0.2056112438440323
OG,0.21011947095394135
OG1,0.21552802622318268
N,0.220936119556427
NE,0.22634485363960266
NE1,0.22713682055473328
NE2,0.2266080528497696
ND1,0.2260792851448059
ND2,0.22555041313171387
NZ,0.2236899584531784
NH1,0.221164271235466
NH2,0.2186381071805954
SD,0.21611185371875763
SG,0.21498939394950867
UNKNOWN,0.21498939394950867
