atom_type,importance
C,0.08001110702753067
CA,0.08001110702753067
CB,0.08411338180303574
CD,0.09334436058998108
CD1,0.10257472842931747
CD2,0.11180569976568222
CE,0.11827635765075684
CE1,0.11922726780176163
CE2,0.1201775074005127
CE3,0.1211286187171936
CG,0.12435761839151382
CG1,0.1355615109205246
CG2,0.14676538109779358
CH2,0.15796926617622375
CZ,0.16911345720291138
CZ2,0.1797802895307541
CZ3,0.1904471218585968
O,0.20111386477947235
OH,0.21178071200847626
OD1,0.20923732221126556
OD2,0.20669406652450562
OE1,0.20415076613426208
OE2,0.20160742104053497
OG,0.195368692278862
OG1,0.18866796791553497
N,0.18196731805801392
NE,0.17526665329933167
NE1,0.19108958542346954
NE2,0.21334849298000336
ND1,0.23560844361782074
ND2,0.25786739587783813
NZ,0.25846385955810547
NH1,0.24822793900966644
NH2,0.23799407482147217
SD,0.22776031494140625
SG,0.22321106493473053
UNKNOWN,0.22321106493473053
