atom_type,importance
C,0.15123222768306732
CA,0.15123222768306732
CB,0.1591120809316635
CD,0.17684128880500793
CD1,0.19457119703292847
CD2,0.21230047941207886
CE,0.2212805151939392
CE1,0.2127610146999359
CE2,0.20424243807792664
CE3,0.1957232803106308
CG,0.1938406378030777
CG1,0.21518616378307343
CG2,0.23653164505958557
CH2,0.2578771710395813
CZ,0.27596166729927063
CZ2,0.2679584324359894
CZ3,0.25995516777038574
O,0.2519519031047821
OH,0.24394866824150085
OD1,0.25719109177589417
OD2,0.27043357491493225
OE1,0.2836759686470032
OE2,0.29691842198371887
OG,0.2984195649623871
OG1,0.29845330119132996
N,0.2984868884086609
NE,0.298520565032959
NE1,0.293223112821579
NE2,0.28640303015708923
ND1,0.2795829176902771
ND2,0.2727641761302948
NZ,0.25972428917884827
NH1,0.24357576668262482
NH2,0.2274269312620163
SD,0.21127809584140778
SG,0.2041008323431015
UNKNOWN,0.2041008323431015
