atom_type,importance
C,0.09502459317445755
CA,0.09502459317445755
CB,0.10247623175382614
CD,0.11924360692501068
CD1,0.13601098954677582
CD2,0.15277838706970215
CE,0.16352543234825134
CE1,0.16223300993442535
CE2,0.16093933582305908
CE3,0.15964694321155548
CG,0.1573289930820465
CG1,0.15141957998275757
CG2,0.14551013708114624
CH2,0.1396007090806961
CZ,0.13459308445453644
CZ2,0.13679952919483185
CZ3,0.13900601863861084
O,0.14121247828006744
OH,0.14341892302036285
OD1,0.13997383415699005
OD2,0.13652868568897247
OE1,0.13308361172676086
OE2,0.12963847815990448
OG,0.12603583931922913
OG1,0.12241345643997192
N,0.1187911108136177
NE,0.1151687353849411
NE1,0.1128106564283371
NE2,0.11081474274396896
ND1,0.10881823301315308
ND2,0.10682201385498047
NZ,0.11292598396539688
NH1,0.12307947874069214
NH2,0.13323335349559784
SD,0.14338742196559906
SG,0.14790025353431702
UNKNOWN,0.14790025353431702
