atom_type,importance
C,0.08000725507736206
CA,0.08000725507736206
CB,0.08517996221780777
CD,0.09681897610425949
CD1,0.10845798254013062
CD2,0.12009699642658234
CE,0.1234801858663559
CE1,0.11035024374723434
CE2,0.09722033143043518
CE3,0.08409113436937332
CG,0.0732673928141594
CG1,0.07051531970500946
CG2,0.06776324659585953
CH2,0.0650111734867096
CZ,0.06321847438812256
CZ2,0.06910066306591034
CZ3,0.07498283684253693
O,0.08086499571800232
OH,0.0867471843957901
OD1,0.08705433458089828
OD2,0.08736148476600647
OE1,0.08766862750053406
OE2,0.08797578513622284
OG,0.07912986725568771
OG1,0.06913980096578598
N,0.05914973467588425
NE,0.04916007071733475
NE1,0.047373805195093155
NE2,0.04793192446231842
ND1,0.04848968982696533
ND2,0.049047812819480896
NZ,0.058937277644872665
NH1,0.07349233329296112
NH2,0.08804786205291748
SD,0.10260284692049026
SG,0.10907196998596191
UNKNOWN,0.10907196998596191
