atom_type,importance
C,0.08371614664793015
CA,0.08371614664793015
CB,0.09236427396535873
CD,0.11182264983654022
CD1,0.13128124177455902
CD2,0.1507394015789032
CE,0.1622428297996521
CE1,0.15783822536468506
CE2,0.15343353152275085
CE3,0.14902891218662262
CG,0.14517883956432343
CG1,0.1432751715183258
CG2,0.14137154817581177
CH2,0.13946789503097534
CZ,0.13782069087028503
CZ2,0.1382252722978592
CZ3,0.13862983882427216
O,0.13903439044952393
OH,0.1394389271736145
OD1,0.12828171253204346
OD2,0.11712448298931122
OE1,0.10596790909767151
OE2,0.09481067210435867
OG,0.09384947270154953
OG1,0.09416277706623077
N,0.09447608143091202
NE,0.09478938579559326
NE1,0.10426456481218338
NE2,0.1163574829697609
ND1,0.1284504383802414
ND2,0.14054334163665771
NZ,0.14943084120750427
NH1,0.15671561658382416
NH2,0.16400042176246643
SD,0.17128650844097137
SG,0.1745234727859497
UNKNOWN,0.1745234727859497
