atom_type,importance
C,0.14838513731956482
CA,0.14838513731956482
CB,0.14750535786151886
CD,0.14552615582942963
CD1,0.1435469537973404
CD2,0.14156706631183624
CE,0.14087873697280884
CE1,0.14277254045009613
CE2,0.14466577768325806
CE3,0.1465589553117752
CG,0.15389861166477203
CG1,0.1802968680858612
CG2,0.20669515430927277
CH2,0.23309336602687836
CZ,0.2591014802455902
CZ2,0.28198862075805664
CZ3,0.30487582087516785
O,0.32776299118995667
OH,0.3506500720977783
OD1,0.35143154859542847
OD2,0.35221317410469055
OE1,0.35299474000930786
OE2,0.35377633571624756
OG,0.341896653175354
OG1,0.3284342586994171
N,0.31497204303741455
NE,0.3015098571777344
NE1,0.29281777143478394
NE2,0.28548747301101685
ND1,0.27815720438957214
ND2,0.270828515291214
NZ,0.26646241545677185
NH1,0.26357904076576233
NH2,0.26069438457489014
SD,0.2578108608722687
SG,0.25652945041656494
UNKNOWN,0.25652945041656494
