atom_type,importance
C,0.10971922427415848
CA,0.10971922427415848
CB,0.12104088813066483
CD,0.14651435613632202
CD1,0.17198751866817474
CD2,0.19746160507202148
CE,0.2235487401485443
CE1,0.2508649230003357
CE2,0.27817898988723755
CE3,0.30549514293670654
CG,0.3245639204978943
CG1,0.3147757351398468
CG2,0.30498746037483215
CH2,0.29519927501678467
CZ,0.2873222827911377
CZ2,0.29473423957824707
CZ3,0.30214646458625793
O,0.30955836176872253
OH,0.316970556974411
OD1,0.31292441487312317
OD2,0.3088783919811249
OE1,0.30483219027519226
OE2,0.3007861077785492
OG,0.2890259325504303
OG1,0.2763015329837799
N,0.26357704401016235
NE,0.2508526146411896
NE1,0.2421216368675232
NE2,0.2345324456691742
ND1,0.22694262862205505
ND2,0.21935312449932098
NZ,0.21726636588573456
NH1,0.21793138980865479
NH2,0.21859636902809143
SD,0.2192605882883072
SG,0.21955670416355133
UNKNOWN,0.21955670416355133
