atom_type,importance
C,0.09128709882497787
CA,0.09128709882497787
CB,0.1000128909945488
CD,0.11964458227157593
CD1,0.139276921749115
CD2,0.15890932083129883
CE,0.17043811082839966
CE1,0.16575996577739716
CE2,0.16108040511608124
CE3,0.1564009040594101
CG,0.15164263546466827
CG1,0.14660879969596863
CG2,0.1415749192237854
CH2,0.13654114305973053
CZ,0.13168717920780182
CZ2,0.12827210128307343
CZ3,0.12485702335834503
O,0.12144198268651962
OH,0.11802687495946884
OD1,0.11402423679828644
OD2,0.11002189666032791
OE1,0.10601961612701416
OE2,0.10201696306467056
OG,0.10235575586557388
OG1,0.10323724150657654
N,0.104118712246418
NE,0.10500019043684006
NE1,0.10291505604982376
NE2,0.09998317807912827
ND1,0.09705062955617905
ND2,0.09411872923374176
NZ,0.09657065570354462
NH1,0.10171451419591904
NH2,0.10685834288597107
SD,0.11200224608182907
SG,0.11428853124380112
UNKNOWN,0.11428853124380112
