atom_type,importance
C,0.09394829720258713
CA,0.09394829720258713
CB,0.10189855843782425
CD,0.11978735774755478
CD1,0.13767725229263306
CD2,0.15556596219539642
CE,0.16555245220661163
CE1,0.15973472595214844
CE2,0.15391698479652405
CE3,0.14809919893741608
CG,0.14398415386676788
CG1,0.14583177864551544
CG2,0.14767946302890778
CH2,0.1495271623134613
CZ,0.152000293135643
CZ2,0.15947745740413666
CZ3,0.16695454716682434
O,0.17443165183067322
OH,0.18190878629684448
OD1,0.16710849106311798
OD2,0.15230824053287506
OE1,0.13750800490379333
OE2,0.12270770967006683
OG,0.12226644158363342
OG1,0.12362001836299896
N,0.12497362494468689
NE,0.12632721662521362
NE1,0.1301238238811493
NE2,0.13461703062057495
ND1,0.1391114741563797
ND2,0.14360466599464417
NZ,0.14384882152080536
NH1,0.14196665585041046
NH2,0.1400855928659439
SD,0.138203427195549
SG,0.1373673677444458
UNKNOWN,0.1373673677444458
