atom_type,importance
C,0.1822320967912674
CA,0.1822320967912674
CB,0.18107245862483978
CD,0.17846375703811646
CD1,0.17585432529449463
CD2,0.17324566841125488
CE,0.17367024719715118
CE1,0.1801627278327942
CE2,0.1866558939218521
CE3,0.19314847886562347
CG,0.19974307715892792
CG1,0.20669399201869965
CG2,0.21364492177963257
CH2,0.22059567272663116
CZ,0.22766855359077454
CZ2,0.23571985960006714
CZ3,0.24377118051052094
O,0.25182268023490906
OH,0.2598741352558136
OD1,0.25871795415878296
OD2,0.2575618326663971
OE1,0.25640562176704407
OE2,0.2552495002746582
OG,0.25771117210388184
OG1,0.26062530279159546
N,0.26353931427001953
NE,0.2664533257484436
NE1,0.25864923000335693
NE2,0.24778145551681519
ND1,0.23691245913505554
ND2,0.22604495286941528
NZ,0.23239919543266296
NH1,0.2473648339509964
NH2,0.2623310983181
SD,0.27729567885398865
SG,0.28394657373428345
UNKNOWN,0.28394657373428345
